,net_name,source_dataset,slope,intercept
3,VGG16,Stylized ImageNet,-0.4007912220752095,-0.060257020795910755
1,VGG16,ImageNet,0.08504635164192134,-0.16133139004243535
2,VGG16,None,0.19778205633120247,-0.4889479134584548
4,VGG16,search stimuli (classify),0.2938184137848616,-0.5729465143895726
0,VGG16,"DomainNet, Clipart domain",0.46018726149033135,-0.5484015905438556
7,alexnet,None,0.05180453417644109,-0.3346052736567427
8,alexnet,Stylized ImageNet,0.11031585084842359,-0.12171855795582334
5,alexnet,"DomainNet, Clipart domain",0.13162267599948413,-0.1416809744895951
6,alexnet,ImageNet,0.1900147895789235,-0.15578679463593875
9,alexnet,search stimuli (classify),0.24862101643126194,-0.5680364526036563
